stem,glyph_name,group,group_title,arabic,translit,unicode,unicode_name,pua,shortcode,short,codepoint_to_type,copy_paste_safe
rmt-rahmatullah-alayhim,rmtRahmatullahAlayhim,rmt,Rahmatullah,رحمة الله عليهم,raḥmatullāhi ‘alayhim,,,E924,\rmt-rahmatullah-alayhim,\rmm,E924,no
rmt-rahmatullah-alayhima,rmtRahmatullahAlayhima,rmt,Rahmatullah,رحمة الله عليهما,raḥmatullāhi ‘alayhimā,,,E925,\rmt-rahmatullah-alayhima,\rmma,E925,no
rmt-rahmatullah-alayhinna,rmtRahmatullahAlayhinna,rmt,Rahmatullah,رحمة الله عليهن,raḥmatullāhi ‘alayhinna,,,E926,\rmt-rahmatullah-alayhinna,\rmn,E926,no
rmt-alayhir-rahmah,rmtAlayhirRahmah,rmt,Rahmatullah,عليه الرحمة,‘alayhir raḥmah,,,E927,\rmt-alayhir-rahmah,\arr,E927,no
rmt-alayhar-rahmah,rmtAlayharRahmah,rmt,Rahmatullah,عليها الرحمة,‘alayhar raḥmah,,,E928,\rmt-alayhar-rahmah,\arra,E928,no
qds-quddisa-sirrahu,qdsQuddisaSirrahu,qds,Qaddasa / Quddisa,قدس سره,quddisa sirruhu,FD4B,ARABIC LIGATURE QUDDISA SIRRAH,E929,\qds-quddisa-sirrahu,\qs,FD4B,yes
qds-qaddasallahu-sirrahu,qdsQaddasallahuSirrahu,qds,Qaddasa / Quddisa,قدس الله سره,qaddasallāhu sirrahu,,,E92A,\qds-qaddasallahu-sirrahu,\qas,E92A,no
qds-qaddasallahu-sirraha,qdsQaddasallahuSirraha,qds,Qaddasa / Quddisa,قدس الله سرها,qaddasallāhu sirrahā,,,E92B,\qds-qaddasallahu-sirraha,\qasa,E92B,no
qds-qaddasallahu-sirrahum,qdsQaddasallahuSirrahum,qds,Qaddasa / Quddisa,قدس الله سرهم,qaddasallāhu sirrahum,,,E92C,\qds-qaddasallahu-sirrahum,\qasm,E92C,no
qds-qaddasallahu-sirrahuma,qdsQaddasallahuSirrahuma,qds,Qaddasa / Quddisa,قدس الله سرهما,qaddasallāhu sirrahumā,,,E92D,\qds-qaddasallahu-sirrahuma,\qasma,E92D,no
qds-quddisa-sirrahuma,qdsQuddisaSirrahuma,qds,Qaddasa / Quddisa,قدس سرهما,quddisa sirrahumā,,,E92E,\qds-quddisa-sirrahuma,\qsma,E92E,no
qds-quddisa-sirrahum,qdsQuddisaSirrahum,qds,Qaddasa / Quddisa,قدس سرهم,quddisa sirrahum,,,E92F,\qds-quddisa-sirrahum,\qsm,E92F,no
qds-quddisat-asrarahum,qdsQuddisatAsrarahum,qds,Qaddasa / Quddisa,قدست أسرارهم,quddisat asrāruhum,,,E930,\qds-quddisat-asrarahum,\qsasr,E930,no
hfz-hafizahu-allah,hfzHafizahuAllah,hfz,Hafizahullah,حفظه الله,hafiẓahullāh,,,E931,\hfz-hafizahu-allah,\hf,E931,no
hfz-hafizaha-allah,hfzHafizahaAllah,hfz,Hafizahullah,حفظها الله,hafiẓahallāh,,,E932,\hfz-hafizaha-allah,\hfa,E932,no
hfz-hafizahumallah,hfzHafizahumallah,hfz,Hafizahullah,حفظهما الله,hafiẓahumallāh,,,E933,\hfz-hafizahumallah,\hfma,E933,no
hfz-hafizahumullah,hfzHafizahumullah,hfz,Hafizahullah,حفظهم الله,hafiẓahumullāh,,,E934,\hfz-hafizahumullah,\hfm,E934,no
mix-ajjalallahu-farajah,mixAjjalallahuFarajah,mix,Mixed,عجّل الله فرجه,‘ajjalallāhu farajah,,,E935,\mix-ajjalallahu-farajah,\ajjal,E935,no
mix-gafarallahu,mixGafarallahu,mix,Mixed,غفر الله له,gafarallāhu lahu,,,E936,\mix-gafarallahu,\gafar,E936,no
mix-karamallahu-wajhah,mixKaramallahuWajhah,mix,Mixed,كرم الله وجهه,karamallāhu wajhah,,,E937,\mix-karamallahu-wajhah,\karam,E937,no
mix-nafaanallahu-bihi,mixNafaanallahuBihi,mix,Mixed,نفعنا الله به,nafa‘anallāhu bihi,,,E938,\mix-nafaanallahu-bihi,\nafa,E938,no
mix-nawwarallahu-marqadahu,mixNawwarallahuMarqadahu,mix,Mixed,نوّر الله مرقده,nawwarallāhu marqadahu,,,E939,\mix-nawwarallahu-marqadahu,\nawwar,E939,no
mix-damat-barakatihim,mixDamatBarakatihim,mix,Mixed,دامت بركاتهم,dāmat barakātihim,,,E93A,\mix-damat-barakatihim,\damat,E93A,no
mix-thaba-tsarahu,mixThabaTsarahu,mix,Mixed,طاب ثراه,ṭāba tharāhu,,,E93B,\mix-thaba-tsarahu,\taba,E93B,no
mix-dama-zhilluhu,mixDamaZhilluhu,mix,Mixed,دام ظله,dāma ẓilluhu,,,E93C,\mix-dama-zhilluhu,\dama,E93C,no
